,Vendedor,Doc,Fecha,Nombres,Unidades,Unitario Venta,Ventas,Costo Unitario,Costo Total,Margen,PorMargen,Codigo,Descripcion
261,,FV R 11515,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,3403.36,3403.36,3433.38,3433.38,-30.02,-0.01,10042296,EMPAQUE CARCASA CLUTCH
262,,FV R 11514,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,4537.82,4537.82,3034.2,3034.2,1503.62,0.33,10043159,BUJE EJE RUEDA DELANTERA
263,,FV R 11515,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,4537.82,4537.82,3034.2,3034.2,1503.62,0.33,10043159,BUJE EJE RUEDA DELANTERA
264,,FV R 11514,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,17000.0,17000.0,14428.17,14428.17,2571.83,0.15,21000361,MOBIL SUPER ULTRA 4T 20W50 1/4
265,,FV R 11515,12/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,17000.0,17000.0,14428.17,14428.17,2571.83,0.15,21000361,MOBIL SUPER ULTRA 4T 20W50 1/4
266,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,12478.99,12478.99,0.0,0.0,12478.99,1.0,022920892,CERA
267,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,12100.84,12100.84,6731.53,6731.53,5369.31,0.44,10002599,RODAMIENTO BOLAS CAMP DEL_6203
268,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,2.0,9075.63,18151.26,6731.53,13463.06,4688.2,0.26,10002599,RODAMIENTO BOLAS CAMP DEL_6203
269,,FV R 11517,13/02/2020,Cliente General,2.0,12773.11,25546.22,6731.53,13463.06,12083.16,0.47,10002599,RODAMIENTO BOLAS CAMP DEL_6203
270,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,4.0,1815.13,7260.5,1483.75,5934.99,1325.51,0.18,10012541,DISCO SEPARADOR CLUTCH
271,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,16260.5,16260.5,12163.37,12163.37,4097.13,0.25,10012780,CADENILLA DISTRIBUCION
272,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,4.0,2930.67,11722.69,2675.8,10703.21,1019.48,0.09,10012909,CAUCHO CAMPANA
273,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,17016.81,17016.81,12794.5,12794.5,4222.31,0.25,10015076,KIT GUIAS CADENILLA DIST
274,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,28739.5,28739.5,26081.06,26081.06,2658.44,0.09,10015081,KIT VALVULAS
275,,FV R 11517,13/02/2020,Cliente General,1.0,27941.18,27941.18,26081.06,26081.06,1860.12,0.07,10015081,KIT VALVULAS
276,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,20420.17,20420.17,15860.98,15860.98,4559.19,0.22,10015127,ANILLOS STD
277,,FV R 11517,13/02/2020,Cliente General,1.0,21554.62,21554.62,15860.98,15860.98,5693.64,0.26,10015127,ANILLOS STD
278,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,7563.03,7563.03,5771.42,5771.42,1791.61,0.24,10015133,KIT EMP CILINDRO Y CULATA
279,,FV R 11517,13/02/2020,Cliente General,1.0,20756.3,20756.3,18217.55,18217.55,2538.76,0.12,10015134,KIT EMPAQUES
280,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,21932.77,21932.77,16461.24,16461.24,5471.53,0.25,10015137,KIT DISCOS CLUTCH
281,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,7941.18,7941.18,6482.48,6482.48,1458.7,0.18,10015299,KIT RETENES
282,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,7941.18,7941.18,6482.48,6482.48,1458.7,0.18,10015299,KIT RETENES
283,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,5294.12,5294.12,3805.55,3805.55,1488.57,0.28,10016089,CANASTILLA EJE CLUTCH
284,,FV R 11517,13/02/2020,Cliente General,1.0,5588.24,5588.24,3805.55,3805.55,1782.68,0.32,10016089,CANASTILLA EJE CLUTCH
285,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,2.0,2647.06,5294.12,3391.6,6783.2,-1489.08,-0.28,10016108,RETEN VALVULA
286,,FV R 11517,13/02/2020,Cliente General,2.0,2794.12,5588.24,3391.6,6783.2,-1194.96,-0.21,10016108,RETEN VALVULA
287,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,2.0,12478.99,24957.98,9530.42,19060.83,5897.15,0.24,10016641,RODAMIENTO BOLAS CIGUENAL 6304
288,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,7563.03,7563.03,5236.6,5236.6,2326.42,0.31,10016818,RODAMIENTO BOLAS EJE CLUTCH
289,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,8319.33,8319.33,13528.0,13528.0,-5208.67,-0.63,10016897,RODAMIENTO BOLAS 6301 RS1
290,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,3781.51,3781.51,0.0,0.0,3781.51,1.0,10040522,ARANDELA CIGUENAL
291,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,25714.29,25714.29,19403.54,19403.54,6310.75,0.25,10040527,TENSOR CADENILLA
292,,FV R 11517,13/02/2020,Cliente General,1.0,10777.31,10777.31,7430.72,7430.72,3346.59,0.31,10040537,BAJ BUJIA P_RZ9HC SUPER MICO BOSCH
293,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,33277.31,33277.31,26203.73,26203.73,7073.59,0.21,10040783,BOMBA ACEITE
294,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,2.0,6806.72,13613.45,5300.83,10601.66,3011.78,0.22,10042275,RETEN TELESC
295,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,3403.36,3403.36,3433.38,3433.38,-30.02,-0.01,10042296,EMPAQUE CARCASA CLUTCH
296,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,35546.22,35546.22,27060.93,27060.93,8485.28,0.24,10043071,EJE CAJA
297,,FV R 11517,13/02/2020,Cliente General,1.0,38319.33,38319.33,27060.93,27060.93,11258.39,0.29,10043071,EJE CAJA
298,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,4537.82,4537.82,3034.2,3034.2,1503.62,0.33,10043159,BUJE EJE RUEDA DELANTERA
299,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,19285.71,19285.71,16140.39,16140.39,3145.33,0.16,10049100,PINON 2A (19T)
300,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,2.0,2521.01,5042.02,0.0,0.0,5042.02,1.0,101349,TENSOR CADENA
301,,FV R 11517,13/02/2020,Cliente General,1.0,84033.61,84033.61,0.0,0.0,84033.61,1.0,2,MANTENIMIENTO Y/O SERV. TECNICO MOTOCICLETAS
302,,FV R 11517,13/02/2020,Cliente General,1.0,12773.11,12773.11,0.0,0.0,12773.11,1.0,20003367,RODAMIENTO BOLAS 6201-RS1/C3
303,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,17000.0,17000.0,14428.17,14428.17,2571.83,0.15,21000361,MOBIL SUPER ULTRA 4T 20W50 1/4
304,,FV R 11517,13/02/2020,Cliente General,1.0,17000.0,17000.0,14428.17,14428.17,2571.83,0.15,21000361,MOBIL SUPER ULTRA 4T 20W50 1/4
305,,FV R 11517,13/02/2020,Cliente General,1.0,23529.41,23529.41,14641.03,14641.03,8888.38,0.38,DU101401,PIÑON 2a. BOXER AHO/S/TITANNIUM
306,,FV R 11517,13/02/2020,Cliente General,1.0,91008.4,91008.4,77356.8,77356.8,13651.6,0.15,DU101406,EJE SALIDA BOXER AHO/S/TITANNIUM
307,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,28000.0,28000.0,0.0,0.0,28000.0,1.0,SER001,CALIBRACION Y AJUSTE VALVULAS
308,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,45000.0,45000.0,0.0,0.0,45000.0,1.0,T001016,CAMBIO DE GUIAS DE VALVULAS
309,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,80000.0,80000.0,0.0,0.0,80000.0,1.0,T009011,REVISION Y/O CAMBIO DEL SERVO MOTOR
310,,FV R 11516,13/02/2020,DISTRIBUIDORA CHALOS S.A.S,1.0,30000.0,30000.0,0.0,0.0,30000.0,1.0,T013013,CAMBIO ACEITE BARRAS
311,,FV  490,15/02/2020,ACUÑA HERNANDEZ LUIS ALBERTO,2.0,11344.54,22689.08,7430.72,14861.43,7827.64,0.34,10040537,BAJ BUJIA P_RZ9HC SUPER MICO BOSCH
312,,FV  490,15/02/2020,ACUÑA HERNANDEZ LUIS ALBERTO,1.0,7983.19,7983.19,4841.23,4841.23,3141.96,0.39,10044452,FILTRO AIRE
313,,FV  490,15/02/2020,ACUÑA HERNANDEZ LUIS ALBERTO,1.0,29411.76,29411.76,0.0,0.0,29411.76,1.0,T000009,SINCRONIZADA ( CARB FILTRO DE AIRE BUJÍA CALIB RAR VÁLVULAS)
314,,FV R 11669,16/02/2020,Cliente General,1.0,18907.56,18907.56,15410.0,15410.0,3497.56,0.18,10012859,BOBINA ARRANQUE ELECTRICO
315,,FV R 11669,16/02/2020,Cliente General,1.0,7983.19,7983.19,359.5,359.5,7623.69,0.95,10012914,PLATINA PINON
316,,FV R 11669,16/02/2020,Cliente General,1.0,78991.6,78991.6,56571.0,56571.0,22420.6,0.28,10015291,KIT ARRASTRE
317,,FV R 11669,16/02/2020,Cliente General,1.0,4621.85,4621.85,3595.0,3595.0,1026.85,0.22,10029087,RESORTE GATO CENTRAL
318,,FV R 11669,16/02/2020,Cliente General,1.0,11344.54,11344.54,7430.72,7430.72,3913.82,0.34,10040537,BAJ BUJIA P_RZ9HC SUPER MICO BOSCH
319,,FV R 11669,16/02/2020,Cliente General,1.0,9243.7,9243.7,6585.0,6585.0,2658.7,0.29,10042037,FILTRO AIRE
320,,FV R 11669,16/02/2020,Cliente General,1.0,32773.11,32773.11,23214.0,23214.0,9559.11,0.29,10043204,CARENAJE FAR SIN PINTAR
321,,FV R 11669,16/02/2020,Cliente General,1.0,22752.1,22752.1,13926.5,13926.5,8825.6,0.39,10043258,BAJ REGULADOR
322,,FV R 11669,16/02/2020,Cliente General,1.0,11344.54,11344.54,8144.0,8144.0,3200.54,0.28,10045110,"FILTRO ACEITE 
REF. JE571007-1"
323,,FV R 11669,16/02/2020,Cliente General,1.0,6722.69,6722.69,5056.6,5056.6,1666.09,0.25,10045319,DISCO SEPARADOR CLUTCH
324,,FV R 11669,16/02/2020,Cliente General,3.0,6722.69,20168.07,5056.6,15169.79,4998.28,0.25,10045319,DISCO SEPARADOR CLUTCH
325,,FV R 11669,16/02/2020,Cliente General,1.0,17226.89,17226.89,11726.26,11726.26,5500.63,0.32,10056550,CABLE ACELERADOR
326,,FV R 11669,16/02/2020,Cliente General,1.0,18067.23,18067.23,12585.0,12585.0,5482.23,0.3,10062318,REPOSAPI DERECHO
327,,FV R 11669,16/02/2020,Cliente General,7.0,18000.0,126000.0,14428.17,100997.16,25002.84,0.2,21000361,MOBIL SUPER ULTRA 4T 20W50 1/4
328,,FV R 11669,16/02/2020,Cliente General,1.0,8403.36,8403.36,7325.0,7325.0,1078.36,0.13,21000364,CAJA X  24 PINTA M_SUP ULTRA 20W50
329,,FV R 11519,17/02/2020,JULIO MARIO JIMENEZ AYOLA,1.0,11344.54,11344.54,8003.93,8003.93,3340.61,0.29,10045339,FILTRO ACEITE
330,,FV R 11518,17/02/2020,YINEIS ELENA SANCHEZ YANCE,1.0,17000.0,17000.0,14428.17,14428.17,2571.83,0.15,21000361,MOBIL SUPER ULTRA 4T 20W50 1/4
331,,FV R 11519,17/02/2020,JULIO MARIO JIMENEZ AYOLA,1.0,17000.0,17000.0,14428.17,14428.17,2571.83,0.15,21000361,MOBIL SUPER ULTRA 4T 20W50 1/4
332,,FV R 11519,17/02/2020,JULIO MARIO JIMENEZ AYOLA,1.0,7983.19,7983.19,7325.0,7325.0,658.19,0.08,21000364,CAJA X  24 PINTA M_SUP ULTRA 20W50
333,,FV R 11518,17/02/2020,YINEIS ELENA SANCHEZ YANCE,1.0,9243.7,9243.7,0.0,0.0,9243.7,1.0,T000123,CAMBIO DE ACEITE
